id,initTime,endTime,status,irrigationType,pumpSystemId,pumpIds,zoneId,sentToNetwork,scheduledType,volume,precipitation,theoricalFlow,programmedByUser,nutrients,hydraulics,scheduledFertigations,nutricontrol,scheduledPhControls,groupingName
7973581,2024-03-21T08:30:00.000Z,2024-03-21T14:57:00.000Z,Running,Volume,13886,[62810],50931,True,DropControl,999,18,170.768,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62796, 62780, 62781, 62782]",[],[],{},
7973582,2024-03-21T14:57:00.000Z,2024-03-21T16:45:00.000Z,Saved,Volume,13886,[62810],50934,True,DropControl,286.5,5,176.308,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62780, 62799, 62781, 62782]",[],[],{},
7973579,2024-03-21T08:30:00.000Z,2024-03-21T10:14:00.000Z,Running,Volume,13886,[62809],50918,True,DropControl,350,5,224,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62783, 62809, 62780, 62781, 62782, 62791]",[],[],{},
7973580,2024-03-21T10:14:00.000Z,2024-03-21T17:40:00.000Z,Saved,Volume,13886,[62809],50922,True,DropControl,1440,18,213.332,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62809, 62780, 62781, 62782, 62788, 62787]",[],[],{},
7973581,2024-03-21T08:30:00.000Z,2024-03-21T14:57:00.000Z,Running,Volume,13886,[62810],50931,True,DropControl,999,18,170.768,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62796, 62780, 62781, 62782]",[],[],{},
7973582,2024-03-21T14:57:00.000Z,2024-03-21T16:45:00.000Z,Saved,Volume,13886,[62810],50934,True,DropControl,286.5,5,176.308,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62780, 62799, 62781, 62782]",[],[],{},
7973579,2024-03-21T08:30:00.000Z,2024-03-21T10:14:00.000Z,Running,Volume,13886,[62809],50918,True,DropControl,350,5,224,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62783, 62809, 62780, 62781, 62782, 62791]",[],[],{},
7973580,2024-03-21T10:14:00.000Z,2024-03-21T17:40:00.000Z,Saved,Volume,13886,[62809],50922,True,DropControl,1440,18,213.332,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62809, 62780, 62781, 62782, 62788, 62787]",[],[],{},
7973581,2024-03-21T08:30:00.000Z,2024-03-21T14:57:00.000Z,Running,Volume,13886,[62810],50931,True,DropControl,999,18,170.768,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62796, 62780, 62781, 62782]",[],[],{},
7973582,2024-03-21T14:57:00.000Z,2024-03-21T16:45:00.000Z,Saved,Volume,13886,[62810],50934,True,DropControl,286.5,5,176.308,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62780, 62799, 62781, 62782]",[],[],{},
7973579,2024-03-21T08:30:00.000Z,2024-03-21T10:14:00.000Z,Running,Volume,13886,[62809],50918,True,DropControl,350,5,224,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62783, 62809, 62780, 62781, 62782, 62791]",[],[],{},
7973580,2024-03-21T10:14:00.000Z,2024-03-21T17:40:00.000Z,Saved,Volume,13886,[62809],50922,True,DropControl,1440,18,213.332,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62809, 62780, 62781, 62782, 62788, 62787]",[],[],{},
7973581,2024-03-21T08:30:00.000Z,2024-03-21T14:57:00.000Z,Running,Volume,13886,[62810],50931,True,DropControl,999,18,170.768,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62796, 62780, 62781, 62782]",[],[],{},
7973582,2024-03-21T14:57:00.000Z,2024-03-21T16:45:00.000Z,Saved,Volume,13886,[62810],50934,True,DropControl,286.5,5,176.308,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62780, 62799, 62781, 62782]",[],[],{},
7973579,2024-03-21T08:30:00.000Z,2024-03-21T10:14:00.000Z,Running,Volume,13886,[62809],50918,True,DropControl,350,5,224,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62783, 62809, 62780, 62781, 62782, 62791]",[],[],{},
7973580,2024-03-21T10:14:00.000Z,2024-03-21T17:40:00.000Z,Saved,Volume,13886,[62809],50922,True,DropControl,1440,18,213.332,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62809, 62780, 62781, 62782, 62788, 62787]",[],[],{},
7973581,2024-03-21T08:30:00.000Z,2024-03-21T14:57:00.000Z,Running,Volume,13886,[62810],50931,True,DropControl,999,18,170.768,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62796, 62780, 62781, 62782]",[],[],{},
7973582,2024-03-21T14:57:00.000Z,2024-03-21T16:45:00.000Z,Saved,Volume,13886,[62810],50934,True,DropControl,286.5,5,176.308,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62780, 62799, 62781, 62782]",[],[],{},
7973579,2024-03-21T08:30:00.000Z,2024-03-21T10:14:00.000Z,Running,Volume,13886,[62809],50918,True,DropControl,350,5,224,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62783, 62809, 62780, 62781, 62782, 62791]",[],[],{},
7973580,2024-03-21T10:14:00.000Z,2024-03-21T17:40:00.000Z,Saved,Volume,13886,[62809],50922,True,DropControl,1440,18,213.332,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62809, 62780, 62781, 62782, 62788, 62787]",[],[],{},
7973581,2024-03-21T08:30:00.000Z,2024-03-21T14:57:00.000Z,Running,Volume,13886,[62810],50931,True,DropControl,999,18,170.768,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62796, 62780, 62781, 62782]",[],[],{},
7973582,2024-03-21T14:57:00.000Z,2024-03-21T16:45:00.000Z,Saved,Volume,13886,[62810],50934,True,DropControl,286.5,5,176.308,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62780, 62799, 62781, 62782]",[],[],{},
7973579,2024-03-21T08:30:00.000Z,2024-03-21T10:14:00.000Z,Running,Volume,13886,[62809],50918,True,DropControl,350,5,224,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62783, 62809, 62780, 62781, 62782, 62791]",[],[],{},
7973580,2024-03-21T10:14:00.000Z,2024-03-21T17:40:00.000Z,Saved,Volume,13886,[62809],50922,True,DropControl,1440,18,213.332,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62809, 62780, 62781, 62782, 62788, 62787]",[],[],{},
7973581,2024-03-21T08:30:00.000Z,2024-03-21T14:57:00.000Z,Running,Volume,13886,[62810],50931,True,DropControl,999,18,170.768,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62796, 62780, 62781, 62782]",[],[],{},
7973582,2024-03-21T14:57:00.000Z,2024-03-21T16:45:00.000Z,Saved,Volume,13886,[62810],50934,True,DropControl,286.5,5,176.308,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62780, 62799, 62781, 62782]",[],[],{},
7973579,2024-03-21T08:30:00.000Z,2024-03-21T10:14:00.000Z,Running,Volume,13886,[62809],50918,True,DropControl,350,5,224,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62783, 62809, 62780, 62781, 62782, 62791]",[],[],{},
7973580,2024-03-21T10:14:00.000Z,2024-03-21T17:40:00.000Z,Saved,Volume,13886,[62809],50922,True,DropControl,1440,18,213.332,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62809, 62780, 62781, 62782, 62788, 62787]",[],[],{},
7973581,2024-03-21T08:30:00.000Z,2024-03-21T14:57:00.000Z,Running,Volume,13886,[62810],50931,True,DropControl,999,18,170.768,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62796, 62780, 62781, 62782]",[],[],{},
7973582,2024-03-21T14:57:00.000Z,2024-03-21T16:45:00.000Z,Saved,Volume,13886,[62810],50934,True,DropControl,286.5,5,176.308,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62780, 62799, 62781, 62782]",[],[],{},
7973579,2024-03-21T08:30:00.000Z,2024-03-21T10:14:00.000Z,Running,Volume,13886,[62809],50918,True,DropControl,350,5,224,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62783, 62809, 62780, 62781, 62782, 62791]",[],[],{},
7973580,2024-03-21T10:14:00.000Z,2024-03-21T17:40:00.000Z,Saved,Volume,13886,[62809],50922,True,DropControl,1440,18,213.332,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62809, 62780, 62781, 62782, 62788, 62787]",[],[],{},
7973581,2024-03-21T08:30:00.000Z,2024-03-21T14:57:00.000Z,Running,Volume,13886,[62810],50931,True,DropControl,999,18,170.768,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62796, 62780, 62781, 62782]",[],[],{},
7973582,2024-03-21T14:57:00.000Z,2024-03-21T16:45:00.000Z,Saved,Volume,13886,[62810],50934,True,DropControl,286.5,5,176.308,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62780, 62799, 62781, 62782]",[],[],{},
7973579,2024-03-21T08:30:00.000Z,2024-03-21T10:14:00.000Z,Running,Volume,13886,[62809],50918,True,DropControl,350,5,224,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62783, 62809, 62780, 62781, 62782, 62791]",[],[],{},
7973580,2024-03-21T10:14:00.000Z,2024-03-21T17:40:00.000Z,Saved,Volume,13886,[62809],50922,True,DropControl,1440,18,213.332,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62809, 62780, 62781, 62782, 62788, 62787]",[],[],{},
7973581,2024-03-21T08:30:00.000Z,2024-03-21T14:57:00.000Z,Running,Volume,13886,[62810],50931,True,DropControl,999,18,170.768,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62796, 62780, 62781, 62782]",[],[],{},
7973582,2024-03-21T14:57:00.000Z,2024-03-21T16:45:00.000Z,Saved,Volume,13886,[62810],50934,True,DropControl,286.5,5,176.308,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62780, 62799, 62781, 62782]",[],[],{},
7973579,2024-03-21T08:30:00.000Z,2024-03-21T10:14:00.000Z,Running,Volume,13886,[62809],50918,True,DropControl,350,5,224,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62783, 62809, 62780, 62781, 62782, 62791]",[],[],{},
7973580,2024-03-21T10:14:00.000Z,2024-03-21T17:40:00.000Z,Saved,Volume,13886,[62809],50922,True,DropControl,1440,18,213.332,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62809, 62780, 62781, 62782, 62788, 62787]",[],[],{},
7973581,2024-03-21T08:30:00.000Z,2024-03-21T14:57:00.000Z,Running,Volume,13886,[62810],50931,True,DropControl,999,18,170.768,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62796, 62780, 62781, 62782]",[],[],{},
7973582,2024-03-21T14:57:00.000Z,2024-03-21T16:45:00.000Z,Saved,Volume,13886,[62810],50934,True,DropControl,286.5,5,176.308,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62780, 62799, 62781, 62782]",[],[],{},
7973579,2024-03-21T08:30:00.000Z,2024-03-21T10:14:00.000Z,Running,Volume,13886,[62809],50918,True,DropControl,350,5,224,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62783, 62809, 62780, 62781, 62782, 62791]",[],[],{},
7973580,2024-03-21T10:14:00.000Z,2024-03-21T17:40:00.000Z,Saved,Volume,13886,[62809],50922,True,DropControl,1440,18,213.332,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62809, 62780, 62781, 62782, 62788, 62787]",[],[],{},
7973581,2024-03-21T08:30:00.000Z,2024-03-21T14:57:00.000Z,Running,Volume,13886,[62810],50931,True,DropControl,999,18,170.768,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62796, 62780, 62781, 62782]",[],[],{},
7973582,2024-03-21T14:57:00.000Z,2024-03-21T16:45:00.000Z,Saved,Volume,13886,[62810],50934,True,DropControl,286.5,5,176.308,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62780, 62799, 62781, 62782]",[],[],{},
7973579,2024-03-21T08:30:00.000Z,2024-03-21T10:14:00.000Z,Running,Volume,13886,[62809],50918,True,DropControl,350,5,224,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62783, 62809, 62780, 62781, 62782, 62791]",[],[],{},
7973580,2024-03-21T10:14:00.000Z,2024-03-21T17:40:00.000Z,Saved,Volume,13886,[62809],50922,True,DropControl,1440,18,213.332,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62809, 62780, 62781, 62782, 62788, 62787]",[],[],{},
7973581,2024-03-21T08:30:00.000Z,2024-03-21T14:57:00.000Z,Running,Volume,13886,[62810],50931,True,DropControl,999,18,170.768,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62796, 62780, 62781, 62782]",[],[],{},
7973582,2024-03-21T14:57:00.000Z,2024-03-21T16:45:00.000Z,Saved,Volume,13886,[62810],50934,True,DropControl,286.5,5,176.308,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62780, 62799, 62781, 62782]",[],[],{},
7973579,2024-03-21T08:30:00.000Z,2024-03-21T10:14:00.000Z,Executed OK,Volume,13886,[62809],50918,True,DropControl,350,5,224,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62783, 62809, 62780, 62781, 62782, 62791]",[],[],{},
7973580,2024-03-21T10:14:00.000Z,2024-03-21T17:40:00.000Z,Saved,Volume,13886,[62809],50922,True,DropControl,1440,18,213.332,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62809, 62780, 62781, 62782, 62788, 62787]",[],[],{},
7973581,2024-03-21T08:30:00.000Z,2024-03-21T14:57:00.000Z,Running,Volume,13886,[62810],50931,True,DropControl,999,18,170.768,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62796, 62780, 62781, 62782]",[],[],{},
7973582,2024-03-21T14:57:00.000Z,2024-03-21T16:45:00.000Z,Saved,Volume,13886,[62810],50934,True,DropControl,286.5,5,176.308,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62780, 62799, 62781, 62782]",[],[],{},
7973579,2024-03-21T08:30:00.000Z,2024-03-21T10:14:00.000Z,Executed OK,Volume,13886,[62809],50918,True,DropControl,350,5,224,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62783, 62809, 62780, 62781, 62782, 62791]",[],[],{},
7973580,2024-03-21T10:14:00.000Z,2024-03-21T17:40:00.000Z,Running,Volume,13886,[62809],50922,True,DropControl,1440,18,213.332,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62809, 62780, 62781, 62782, 62788, 62787]",[],[],{},
7973581,2024-03-21T08:30:00.000Z,2024-03-21T14:57:00.000Z,Running,Volume,13886,[62810],50931,True,DropControl,999,18,170.768,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62796, 62780, 62781, 62782]",[],[],{},
7973582,2024-03-21T14:57:00.000Z,2024-03-21T16:45:00.000Z,Saved,Volume,13886,[62810],50934,True,DropControl,286.5,5,176.308,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62780, 62799, 62781, 62782]",[],[],{},
7973579,2024-03-21T08:30:00.000Z,2024-03-21T10:14:00.000Z,Executed OK,Volume,13886,[62809],50918,True,DropControl,350,5,224,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62783, 62809, 62780, 62781, 62782, 62791]",[],[],{},
7973580,2024-03-21T10:14:00.000Z,2024-03-21T17:40:00.000Z,Running,Volume,13886,[62809],50922,True,DropControl,1440,18,213.332,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62809, 62780, 62781, 62782, 62788, 62787]",[],[],{},
7973581,2024-03-21T08:30:00.000Z,2024-03-21T14:57:00.000Z,Running,Volume,13886,[62810],50931,True,DropControl,999,18,170.768,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62796, 62780, 62781, 62782]",[],[],{},
7973582,2024-03-21T14:57:00.000Z,2024-03-21T16:45:00.000Z,Saved,Volume,13886,[62810],50934,True,DropControl,286.5,5,176.308,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62780, 62799, 62781, 62782]",[],[],{},
7973579,2024-03-21T08:30:00.000Z,2024-03-21T10:14:00.000Z,Executed OK,Volume,13886,[62809],50918,True,DropControl,350,5,224,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62783, 62809, 62780, 62781, 62782, 62791]",[],[],{},
7973580,2024-03-21T10:14:00.000Z,2024-03-21T17:40:00.000Z,Running,Volume,13886,[62809],50922,True,DropControl,1440,18,213.332,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62809, 62780, 62781, 62782, 62788, 62787]",[],[],{},
7973581,2024-03-21T08:30:00.000Z,2024-03-21T14:57:00.000Z,Running,Volume,13886,[62810],50931,True,DropControl,999,18,170.768,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62796, 62780, 62781, 62782]",[],[],{},
7973582,2024-03-21T14:57:00.000Z,2024-03-21T16:45:00.000Z,Saved,Volume,13886,[62810],50934,True,DropControl,286.5,5,176.308,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62780, 62799, 62781, 62782]",[],[],{},
7973579,2024-03-21T08:30:00.000Z,2024-03-21T10:14:00.000Z,Executed OK,Volume,13886,[62809],50918,True,DropControl,350,5,224,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62783, 62809, 62780, 62781, 62782, 62791]",[],[],{},
7973580,2024-03-21T10:14:00.000Z,2024-03-21T17:40:00.000Z,Running,Volume,13886,[62809],50922,True,DropControl,1440,18,213.332,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62809, 62780, 62781, 62782, 62788, 62787]",[],[],{},
7973581,2024-03-21T08:30:00.000Z,2024-03-21T14:57:00.000Z,Running,Volume,13886,[62810],50931,True,DropControl,999,18,170.768,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62796, 62780, 62781, 62782]",[],[],{},
7973582,2024-03-21T14:57:00.000Z,2024-03-21T16:45:00.000Z,Saved,Volume,13886,[62810],50934,True,DropControl,286.5,5,176.308,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62780, 62799, 62781, 62782]",[],[],{},
7973579,2024-03-21T08:30:00.000Z,2024-03-21T10:14:00.000Z,Executed OK,Volume,13886,[62809],50918,True,DropControl,350,5,224,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62783, 62809, 62780, 62781, 62782, 62791]",[],[],{},
7973580,2024-03-21T10:14:00.000Z,2024-03-21T17:40:00.000Z,Running,Volume,13886,[62809],50922,True,DropControl,1440,18,213.332,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62809, 62780, 62781, 62782, 62788, 62787]",[],[],{},
7973581,2024-03-21T08:30:00.000Z,2024-03-21T14:57:00.000Z,Running,Volume,13886,[62810],50931,True,DropControl,999,18,170.768,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62796, 62780, 62781, 62782]",[],[],{},
7973582,2024-03-21T14:57:00.000Z,2024-03-21T16:45:00.000Z,Saved,Volume,13886,[62810],50934,True,DropControl,286.5,5,176.308,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62780, 62799, 62781, 62782]",[],[],{},
7973579,2024-03-21T08:30:00.000Z,2024-03-21T10:14:00.000Z,Executed OK,Volume,13886,[62809],50918,True,DropControl,350,5,224,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62783, 62809, 62780, 62781, 62782, 62791]",[],[],{},
7973580,2024-03-21T10:14:00.000Z,2024-03-21T17:40:00.000Z,Running,Volume,13886,[62809],50922,True,DropControl,1440,18,213.332,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62809, 62780, 62781, 62782, 62788, 62787]",[],[],{},
7973581,2024-03-21T08:30:00.000Z,2024-03-21T14:57:00.000Z,Running,Volume,13886,[62810],50931,True,DropControl,999,18,170.768,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62796, 62780, 62781, 62782]",[],[],{},
7973582,2024-03-21T14:57:00.000Z,2024-03-21T16:45:00.000Z,Saved,Volume,13886,[62810],50934,True,DropControl,286.5,5,176.308,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62780, 62799, 62781, 62782]",[],[],{},
7973579,2024-03-21T08:30:00.000Z,2024-03-21T10:14:00.000Z,Executed OK,Volume,13886,[62809],50918,True,DropControl,350,5,224,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62783, 62809, 62780, 62781, 62782, 62791]",[],[],{},
7973580,2024-03-21T10:14:00.000Z,2024-03-21T17:40:00.000Z,Running,Volume,13886,[62809],50922,True,DropControl,1440,18,213.332,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62809, 62780, 62781, 62782, 62788, 62787]",[],[],{},
